RegionName,County_State,CountyName,StateFullName,Lat,Long,2010,2011,2012,2013,2014,2015,2016,2017
Collin,"Collin, TX",Collin,Texas,33.208033,-96.646773,7658.166667,7379.333333,4716.666667,3560.583333,3060.25,2688.25,2504.666667,3344.75
Monroe,"Monroe, NY",Monroe,New York,43.195261,-77.855883,2614.166667,3393.416667,2886.916667,1824.583333,1763.833333,1670.416667,1646.333333,1548.833333
Essex,"Essex, MA",Essex,Massachusetts,42.647991,-71.165685,3802.833333,4246.916667,3597.416667,2628.166667,2425.916667,2284.333333,1814.75,1475.916667
Multnomah,"Multnomah, OR",Multnomah,Oregon,45.582981,-122.101103,4284.5,3860.833333,2523.166667,2109,2085,1689.166667,1519.166667,1755
Suffolk,"Suffolk, MA",Suffolk,Massachusetts,42.370567,-71.026964,2253.666667,2447.25,1744.083333,1085.083333,943.9166667,968.5,881.75,850.6666667
San Mateo,"San Mateo, CA",San Mateo,California,37.516644,-122.29339,2154.916667,2273.916667,1221.166667,813.75,719.5,592,603.5,439
Snohomish,"Snohomish, WA",Snohomish,Washington,47.840068,-122.197238,4870.5,4590.916667,2390.416667,1938.666667,2422.416667,2013.583333,1671.75,1266.416667
Lake,"Lake, IL",Lake,Illinois,42.451419,-88.075733,6474.916667,6735.5,5438.25,3688.166667,3749.5,4344.5,4162.083333,3877.75
Dekalb,"Dekalb, GA",Dekalb,Georgia,33.771704,-84.23937,6374.25,6555.333333,4145.333333,2492.916667,2834.25,3205.083333,2917.333333,2508.583333
Cobb,"Cobb, GA",Cobb,Georgia,33.912473,-84.557181,7696.75,7568.5,4801.333333,2954.5,3206.833333,3360.166667,2976.75,2817
San Joaquin,"San Joaquin, CA",San Joaquin,California,37.672196,-121.298794,2093.25,2116.666667,1233.583333,763,935.8333333,1029.166667,944.5833333,810.5833333
Will,"Will, IL",Will,Illinois,41.356872,-87.626723,4865.166667,5144.833333,3986.416667,2781.75,3018.75,3176.333333,2528.25,2021.083333
Norfolk,"Norfolk, MA",Norfolk,Massachusetts,42.076501,-71.470464,3074.083333,3679.25,3105.833333,2068.666667,1909.333333,1817.916667,1596.916667,1325.166667
Denton,"Denton, TX",Denton,Texas,33.007436,-96.895893,6144.333333,6151.333333,4124.833333,3210.583333,2924.083333,2702.916667,2429.25,2914.333333
Bernalillo,"Bernalillo, NM",Bernalillo,New Mexico,35.124363,-106.375103,4236.083333,4002.833333,2826.666667,2778.416667,3032.666667,2871.166667,2623.5,2327.583333
Jefferson,"Jefferson, AL",Jefferson,Alabama,33.578097,-86.987228,4982.666667,5822.583333,3919.666667,3543.916667,3279.916667,3337.166667,3265.416667,3126.583333
Monmouth,"Monmouth, NJ",Monmouth,New Jersey,40.358409,-74.068143,7411.166667,7795.166667,6054.333333,4617.083333,4636.583333,4915.166667,4355.833333,3635
Davidson,"Davidson, TN",Davidson,Tennessee,36.170556,-86.8825,6397.166667,6286.666667,4728.916667,3801.166667,3377.666667,1920,2024.333333,2208.833333
Bucks,"Bucks, PA",Bucks,Pennsylvania,40.328645,-75.10278,3632.666667,4020,3156.583333,2727.25,2895.833333,2867,2406.666667,1904.416667
El Paso,"El Paso, CO",El Paso,Colorado,39.086393,-104.807666,6182.416667,5460,3493.833333,3657.166667,3745.833333,2832.666667,2258.083333,1493.833333
Baltimore City,"Baltimore City, MD",Baltimore City,Maryland,39.296536,-76.623489,4291.833333,3869.666667,2850.75,2523.666667,2895.5,3087.583333,2957,2526.166667
Lee,"Lee, FL",Lee,Florida,26.564355,-81.925065,15514,12406.66667,10413,8743.333333,8884.166667,7170.416667,8057.916667,8255.75
Kent,"Kent, MI",Kent,Michigan,42.963833,-85.482266,4099.916667,3585.916667,2678.166667,2131.166667,1821.583333,1722.416667,1326.416667,1152.833333
Polk,"Polk, FL",Polk,Florida,28.059997,-81.956122,5803,5321.333333,3813.083333,3383.5,4049.333333,3837.166667,3651.416667,3167.75
